,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,hour,day,month
66,Dog,Neutered Male,180.0,Pointer Mix,Black/White,15,0,12
67,Dog,Intact Female,60.0,English Foxhound,Buff,15,1,9
68,Cat,Unknown,60.0,Domestic Shorthair Mix,Brown Tabby/White,9,1,6
69,Dog,Spayed Female,365.0,Chihuahua Shorthair Mix,Red,18,5,5
70,Dog,Neutered Male,60.0,Vizsla Mix,Brown,17,2,4
71,Dog,Neutered Male,730.0,Pit Bull Mix,Brown Brindle/White,14,4,1
72,Dog,Spayed Female,1095.0,German Shepherd/Great Pyrenees,White,18,1,3
73,Cat,Intact Female,365.0,Domestic Shorthair Mix,Black,11,1,8
74,Dog,Spayed Female,1460.0,Yorkshire Terrier Mix,Blue/Tan,16,5,12
75,Dog,Spayed Female,730.0,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan,14,2,8
76,Cat,Spayed Female,90.0,Domestic Longhair,Brown Tabby,17,6,6
77,Cat,Intact Female,365.0,Domestic Shorthair Mix,Calico,17,4,3
78,Dog,Neutered Male,60.0,Chow Chow/Pit Bull,Black,16,6,6
79,Cat,Spayed Female,730.0,Domestic Shorthair Mix,Black/White,19,6,12
80,Dog,Neutered Male,365.0,Chihuahua Shorthair,White,12,3,12
81,Cat,Unknown,14.0,Domestic Shorthair Mix,Blue Tabby,12,1,9
82,Cat,Unknown,28.0,Siamese Mix,Seal Point,18,5,5
83,Cat,Intact Male,730.0,Domestic Shorthair Mix,Blue Tabby,9,0,10
84,Dog,Neutered Male,4380.0,Pit Bull Mix,Brown Brindle,17,0,2
85,Dog,Neutered Male,365.0,Dachshund/Beagle,Brown/White,18,6,9
86,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Black,15,5,7
87,Cat,Intact Male,14.0,Domestic Shorthair Mix,Black,15,1,7
88,Dog,Intact Female,90.0,Labrador Retriever Mix,Black/White,18,5,4
89,Cat,Spayed Female,90.0,Domestic Medium Hair Mix,Calico,15,0,11
90,Dog,Neutered Male,150.0,Plott Hound Mix,Brown Brindle/White,14,1,12
91,Dog,Spayed Female,1095.0,Boxer/Great Dane,Black,14,6,2
92,Dog,Spayed Female,2555.0,Lhasa Apso,White/Black,11,3,4
93,Dog,Spayed Female,730.0,German Shepherd Mix,Black/Tan,18,4,2
94,Cat,Spayed Female,120.0,Domestic Shorthair Mix,Black,15,0,12
95,Dog,Spayed Female,3285.0,Beagle/Treeing Walker Coonhound,White/Brown,14,6,11
96,Dog,Neutered Male,210.0,Border Collie Mix,Black/White,15,6,12
97,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Black/White,19,0,7
98,Cat,Intact Male,1095.0,Domestic Shorthair Mix,Black/White,9,4,10
99,Dog,Neutered Male,1095.0,Border Terrier Mix,Gray,16,2,1
100,Dog,Neutered Male,1825.0,Chihuahua Shorthair Mix,Tan/White,17,3,5
101,Dog,Neutered Male,1825.0,Boxer Mix,Brown Brindle/White,12,3,1
102,Cat,Intact Female,14.0,Domestic Medium Hair Mix,Blue,11,2,10
103,Cat,Unknown,14.0,Domestic Shorthair Mix,Black,14,6,7
104,Cat,Spayed Female,1460.0,Domestic Shorthair Mix,Torbie,14,3,1
105,Dog,Neutered Male,1460.0,Cairn Terrier Mix,Tan/White,18,2,4
106,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Brown Tabby,18,6,7
107,Dog,Spayed Female,730.0,Chihuahua Shorthair Mix,Black/Tan,12,4,12
108,Dog,Neutered Male,730.0,Dogo Argentino Mix,White,18,6,3
109,Dog,Neutered Male,3285.0,Dachshund Mix,Black/Brown,11,5,3
110,Dog,Neutered Male,1825.0,Beagle Mix,Tricolor,18,1,2
111,Dog,Neutered Male,365.0,Chihuahua Shorthair/Dachshund,Yellow Brindle/White,16,4,12
112,Dog,Spayed Female,730.0,Pit Bull Mix,Fawn/White,16,6,10
113,Cat,Intact Male,21.0,Domestic Shorthair Mix,Brown Tabby,15,1,5
114,Dog,Intact Male,150.0,Pit Bull Mix,White/Brown,15,0,7
115,Cat,Intact Male,2190.0,Domestic Shorthair Mix,Orange Tabby,16,0,1
116,Dog,Spayed Female,365.0,Chihuahua Shorthair Mix,Tan,15,5,3
117,Dog,Intact Male,90.0,Chihuahua Shorthair Mix,Black/White,0,3,11
118,Cat,Intact Female,30.0,Domestic Longhair Mix,Calico,18,5,10
119,Dog,Spayed Female,1095.0,Chihuahua Shorthair Mix,Brown,16,6,5
120,Dog,Neutered Male,1825.0,Dachshund Mix,Black,17,0,4
121,Dog,Neutered Male,2920.0,Miniature Schnauzer/Miniature Poodle,Black,11,0,5
122,Dog,Spayed Female,60.0,Labrador Retriever Mix,Black/White,14,6,9
123,Cat,Intact Female,2555.0,Domestic Shorthair Mix,Tortie,11,4,11
124,Cat,Intact Female,60.0,Domestic Shorthair Mix,Black,18,4,10
125,Dog,Neutered Male,1825.0,Pit Bull,Black,17,3,9
126,Dog,Neutered Male,365.0,Pit Bull Mix,White/Brown,17,6,1
127,Cat,Intact Male,90.0,Domestic Shorthair Mix,Brown Tabby,9,6,8
128,Dog,Neutered Male,730.0,Chihuahua Shorthair Mix,Brown/White,18,6,3
129,Dog,Spayed Female,3285.0,Labrador Retriever Mix,Chocolate/White,11,6,1
130,Dog,Spayed Female,1095.0,Pit Bull Mix,Red/White,17,3,10
131,Cat,Spayed Female,1095.0,Domestic Shorthair Mix,Calico,18,0,10
132,Dog,Spayed Female,365.0,Chihuahua Shorthair/Jack Russell Terrier,Black/White,14,4,1
133,Dog,Spayed Female,730.0,Chihuahua Shorthair Mix,Black/Tan,15,4,1
134,Dog,Spayed Female,365.0,Pit Bull,Brown Brindle,17,1,12
135,Cat,Neutered Male,730.0,Siamese Mix,Flame Point,16,1,6
136,Dog,Spayed Female,730.0,Tibetan Terrier Mix,Brown,15,5,5
137,Cat,Intact Female,730.0,Domestic Shorthair Mix,Blue/White,9,2,6
138,Cat,Unknown,90.0,Domestic Shorthair Mix,Tortie,9,1,10
139,Dog,Spayed Female,30.0,Miniature Pinscher/Chihuahua Shorthair,Tricolor,18,6,11
140,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Orange Tabby/White,13,1,8
141,Cat,Neutered Male,300.0,Domestic Medium Hair Mix,Cream Tabby,19,6,2
142,Cat,Spayed Female,730.0,Domestic Medium Hair Mix,Brown Tabby/White,16,1,2
143,Cat,Spayed Female,60.0,Domestic Medium Hair Mix,Calico,15,6,6
144,Dog,Neutered Male,180.0,Labrador Retriever Mix,Yellow,19,6,11
145,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Brown Tabby,19,5,11
146,Dog,Spayed Female,365.0,Dachshund Mix,Tan,18,4,9
147,Dog,Intact Female,180.0,Dachshund Mix,Brown/White,14,2,10
148,Cat,Spayed Female,365.0,Domestic Shorthair Mix,Black/White,17,6,6
149,Cat,Intact Male,21.0,Domestic Shorthair Mix,Calico,18,4,9
150,Cat,Neutered Male,730.0,Domestic Shorthair Mix,Brown Tabby,14,4,2
151,Dog,Spayed Female,330.0,Blue Lacy Mix,Blue/White,13,5,11
152,Dog,Neutered Male,90.0,Rat Terrier Mix,Tricolor,16,0,3
153,Dog,Spayed Female,730.0,Dachshund Longhair,Brown,12,0,2
154,Dog,Neutered Male,730.0,Pit Bull Mix,Red,12,5,9
155,Dog,Neutered Male,730.0,Pit Bull Mix,Brown/White,11,5,8
156,Cat,Spayed Female,120.0,Domestic Longhair,Calico,18,3,7
157,Dog,Intact Female,120.0,Dachshund/Chihuahua Shorthair,Red,15,0,8
158,Cat,Intact Female,150.0,Domestic Shorthair Mix,Torbie,9,0,9
159,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Black Tabby/White,11,2,12
160,Dog,Neutered Male,2555.0,Chihuahua Shorthair Mix,Brown/White,15,2,7
161,Cat,Neutered Male,1460.0,Domestic Shorthair Mix,Black/White,16,5,1
162,Cat,Intact Female,21.0,Domestic Shorthair Mix,Tortie/Calico,11,3,9
163,Dog,Neutered Male,180.0,Border Collie Mix,Black/White,17,6,12
164,Dog,Intact Female,150.0,Labrador Retriever Mix,Black/White,17,5,8
165,Dog,Spayed Female,2920.0,Maltese,White,11,2,1
166,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Black,17,6,7
167,Cat,Spayed Female,30.0,Domestic Shorthair Mix,Blue Tabby/White,18,0,7
168,Dog,Spayed Female,150.0,Labrador Retriever Mix,White,18,0,2
169,Cat,Intact Male,30.0,Domestic Shorthair Mix,Brown Tabby,13,5,5
170,Cat,Intact Male,120.0,Domestic Shorthair Mix,Blue Tabby,9,3,10
171,Dog,Spayed Female,365.0,Chihuahua Shorthair Mix,White/Tan,11,5,8
172,Dog,Neutered Male,730.0,Labrador Retriever/Rottweiler,Black/Brown,16,6,8
173,Cat,Spayed Female,4015.0,Domestic Shorthair Mix,Tortie,15,0,11
174,Dog,Neutered Male,60.0,Dachshund/Manchester Terrier,Tricolor,9,3,6
175,Cat,Neutered Male,60.0,Domestic Shorthair Mix,White/Black,0,1,9
176,Cat,Intact Female,60.0,Domestic Shorthair Mix,Brown Tabby,18,3,10
177,Dog,Spayed Female,30.0,Plott Hound/Labrador Retriever,Black/Brown Brindle,14,0,4
178,Dog,Spayed Female,2555.0,Chihuahua Shorthair/Rat Terrier,White/Tan,11,0,5
179,Cat,Intact Male,4.0,Domestic Shorthair Mix,Cream Tabby/White,13,2,5
180,Dog,Neutered Male,1460.0,Siberian Husky,White/Gray,13,0,11
181,Dog,Spayed Female,730.0,Australian Cattle Dog Mix,Tan/White,0,1,12
182,Dog,Spayed Female,365.0,Pointer Mix,White/Black,13,5,11
183,Dog,Neutered Male,730.0,Pit Bull Mix,Brown Brindle/White,17,2,12
184,Cat,Intact Female,28.0,Domestic Medium Hair Mix,Brown Tabby,18,2,9
185,Cat,Intact Female,365.0,Domestic Shorthair Mix,Black/White,11,4,11
186,Dog,Spayed Female,730.0,Yorkshire Terrier/Miniature Poodle,Tan/Silver,17,1,5
187,Cat,Intact Male,300.0,Domestic Shorthair Mix,Orange Tabby,12,3,10
188,Dog,Spayed Female,1460.0,German Shepherd Mix,White,12,5,3
189,Cat,Spayed Female,120.0,Domestic Shorthair Mix,Brown Tabby/White,17,2,7
190,Dog,Spayed Female,2190.0,Catahoula/Labrador Retriever,White/Tan,11,2,5
191,Dog,Spayed Female,270.0,Miniature Poodle Mix,Black/White,17,4,5
192,Dog,Spayed Female,1095.0,Jack Russell Terrier/Pit Bull,Red,14,5,9
193,Cat,Spayed Female,240.0,Domestic Shorthair Mix,Torbie,12,6,11
194,Dog,Spayed Female,300.0,Queensland Heeler/Shetland Sheepdog,Red Tick/Black,16,3,5
195,Cat,Neutered Male,365.0,Domestic Shorthair Mix,White/Cream Tabby,0,1,9
196,Dog,Neutered Male,365.0,Catahoula Mix,Blue Merle,16,1,10
197,Dog,Neutered Male,365.0,Labrador Retriever Mix,Black/White,18,4,7
198,Dog,Neutered Male,90.0,Labrador Retriever Mix,Yellow,15,3,7
199,Dog,Intact Male,2190.0,Chihuahua Shorthair Mix,Chocolate/Tan,18,1,11
200,Cat,Unknown,365.0,Domestic Longhair Mix,Black,15,1,1
201,Dog,Neutered Male,730.0,American Pit Bull Terrier Mix,Tan/White,10,3,4
202,Dog,Spayed Female,1825.0,Dachshund Longhair Mix,Tan/White,18,5,11
203,Cat,Neutered Male,4380.0,Domestic Longhair Mix,Orange Tabby/White,17,6,5
204,Dog,Spayed Female,730.0,German Shepherd Mix,Sable,12,1,4
205,Dog,Neutered Male,2190.0,Labrador Retriever Mix,Black/White,18,5,10
206,Cat,Neutered Male,90.0,Domestic Shorthair Mix,Black,18,5,6
207,Dog,Spayed Female,240.0,Doberman Pinsch Mix,Tricolor,11,5,2
208,Cat,Neutered Male,365.0,Domestic Shorthair Mix,Black,15,4,12
209,Cat,Intact Female,5475.0,Domestic Shorthair Mix,Black,15,5,10
210,Dog,Intact Female,21.0,Pointer Mix,Chocolate/White,17,2,10
211,Dog,Neutered Male,150.0,Dachshund/Jack Russell Terrier,White/Brown,16,3,11
212,Dog,Neutered Male,730.0,Miniature Poodle/Miniature Schnauzer,Black/White,19,2,5
213,Dog,Spayed Female,730.0,Whippet Mix,Brown Brindle/White,9,1,12
214,Dog,Intact Male,730.0,Australian Shepherd Mix,Brown Merle/White,14,4,11
215,Dog,Spayed Female,730.0,Labrador Retriever Mix,Tan/White,14,0,1
216,Cat,Intact Female,21.0,Domestic Shorthair Mix,Calico,18,4,9
217,Dog,Spayed Female,365.0,Pit Bull Mix,Brown Tiger/White,13,3,5
218,Cat,Intact Male,730.0,Domestic Shorthair Mix,Brown Tabby/White,9,5,3
219,Cat,Intact Male,28.0,Domestic Shorthair Mix,Brown Tabby,15,2,10
220,Dog,Neutered Male,1460.0,Chihuahua Shorthair Mix,White/Brown,15,1,4
221,Cat,Intact Male,21.0,Domestic Shorthair Mix,Brown Tabby,19,1,6
222,Cat,Intact Male,60.0,Domestic Shorthair Mix,Black,8,1,5
223,Dog,Spayed Female,365.0,Rat Terrier Mix,White/Black,15,1,2
224,Dog,Spayed Female,60.0,English Pointer Mix,Brown/White,16,4,5
225,Dog,Spayed Female,365.0,Miniature Schnauzer/Yorkshire Terrier,Black/White,17,0,11
226,Dog,Spayed Female,1095.0,Cairn Terrier Mix,Buff,17,1,7
227,Dog,Neutered Male,3285.0,Labrador Retriever/Pit Bull,Black,18,0,1
228,Cat,Spayed Female,730.0,Domestic Shorthair Mix,White/Black,15,0,9
229,Dog,Spayed Female,1825.0,Great Dane,Black/White,14,0,12
230,Dog,Intact Male,730.0,Chihuahua Shorthair Mix,Black/White,18,6,11
231,Dog,Neutered Male,730.0,Chesa Bay Retr,Brown,11,4,5
232,Dog,Neutered Male,2555.0,German Shepherd,Brown/Black,16,1,11
233,Cat,Intact Female,365.0,Domestic Shorthair Mix,Brown Tabby/White,9,0,7
234,Cat,Spayed Female,2190.0,Domestic Shorthair Mix,Black/White,15,5,11
235,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Orange Tabby/White,20,5,7
236,Dog,Spayed Female,365.0,Chihuahua Shorthair Mix,Tan/Black,18,6,5
237,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Orange Tabby/White,17,3,11
238,Dog,Spayed Female,2190.0,Plott Hound Mix,Brown Brindle,14,5,11
239,Cat,Intact Male,60.0,Domestic Shorthair Mix,Brown Tabby/White,16,1,5
240,Dog,Spayed Female,730.0,Chihuahua Shorthair Mix,Brown/Black,15,2,6
241,Cat,Neutered Male,2555.0,Siamese Mix,Flame Point,18,1,8
242,Cat,Spayed Female,90.0,Domestic Shorthair Mix,Brown Tabby/White,12,6,12
243,Dog,Neutered Male,1095.0,Chow Chow Mix,Red,18,3,11
244,Cat,Intact Female,730.0,Domestic Shorthair Mix,Black,15,1,4
245,Dog,Spayed Female,2555.0,English Pointer,Liver/White,17,6,12
246,Cat,Intact Male,30.0,Domestic Shorthair Mix,White/Blue Tabby,17,6,5
247,Dog,Spayed Female,730.0,Pit Bull Mix,Brown/White,19,5,11
248,Dog,Intact Female,150.0,Boxer Mix,Black/White,0,2,8
249,Dog,Neutered Male,1460.0,Basset Hound/Labrador Retriever,Black/White,11,1,6
250,Dog,Neutered Male,730.0,Labrador Retriever Mix,Buff,17,3,3
251,Dog,Spayed Female,2555.0,Airedale Terrier Mix,Tricolor,0,6,2
252,Dog,Neutered Male,365.0,Labrador Retriever/Chow Chow,Brown,12,6,7
253,Cat,Neutered Male,30.0,Domestic Shorthair Mix,Orange Tabby/White,12,2,12
254,Dog,Neutered Male,30.0,Beagle/German Shepherd,Black/Brown,13,5,1
255,Cat,Neutered Male,60.0,Manx Mix,White/Black,14,6,9
256,Cat,Intact Female,1095.0,Domestic Shorthair Mix,Blue,9,1,10
257,Dog,Spayed Female,1460.0,Chihuahua Shorthair/Rat Terrier,Tan/White,13,2,7
258,Dog,Spayed Female,365.0,Pit Bull Mix,Black/White,12,5,10
259,Dog,Spayed Female,730.0,Flat Coat Retriever Mix,Black/White,18,6,8
260,Dog,Spayed Female,3650.0,Cocker Spaniel,Buff,15,3,5
261,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Brown Tabby,16,5,10
262,Dog,Spayed Female,3650.0,Chihuahua Shorthair Mix,Tan,18,5,4
263,Cat,Spayed Female,730.0,Domestic Longhair Mix,Brown Tabby/White,14,6,7
264,Dog,Spayed Female,2555.0,Rat Terrier Mix,White/Black,11,0,7
265,Dog,Neutered Male,365.0,Border Terrier/Chihuahua Shorthair,Tan/Black,17,0,8
266,Dog,Neutered Male,1825.0,Pit Bull Mix,Brown Brindle/White,13,3,9
267,Dog,Spayed Female,2190.0,Chihuahua Shorthair Mix,Black/Gray,17,0,3
268,Cat,Unknown,7.0,Domestic Shorthair Mix,Brown Tabby,15,5,8
269,Dog,Spayed Female,2555.0,Pit Bull Mix,Tan/White,18,3,7
270,Dog,Neutered Male,365.0,Chihuahua Longhair Mix,Black,17,2,10
271,Dog,Neutered Male,365.0,Jack Russell Terrier/Dachshund,White/Brown,12,3,7
272,Cat,Intact Female,14.0,Domestic Shorthair Mix,Orange Tabby,17,6,5
273,Cat,Intact Female,365.0,Domestic Shorthair Mix,Orange Tabby,15,1,12
274,Dog,Neutered Male,1825.0,German Shepherd,Black/Brown,14,2,12
275,Dog,Spayed Female,730.0,Rottweiler Mix,Black/Tan,11,0,8
276,Dog,Neutered Male,300.0,Siberian Husky Mix,White/Cream,17,1,3
277,Cat,Intact Female,90.0,Domestic Shorthair Mix,Black,14,0,5
278,Dog,Neutered Male,270.0,Cardigan Welsh Corgi/Cardigan Welsh Corgi,Fawn/White,18,4,2
279,Cat,Intact Female,30.0,Domestic Shorthair Mix,Black/White,15,0,9
280,Cat,Unknown,0.0,Domestic Shorthair Mix,Blue,15,4,4
281,Cat,Spayed Female,1825.0,Domestic Shorthair Mix,Calico,9,1,11
282,Dog,Spayed Female,240.0,Chihuahua Shorthair Mix,Chocolate/White,21,5,2
283,Dog,Intact Male,365.0,Cairn Terrier Mix,Cream,14,3,4
284,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Orange Tabby,10,2,10
285,Cat,Neutered Male,90.0,Domestic Shorthair,Black/White,17,1,10
286,Dog,Intact Male,5110.0,Chihuahua Shorthair Mix,Chocolate/White,15,0,4
287,Dog,Neutered Male,2555.0,Labrador Retriever Mix,Chocolate,10,6,3
288,Dog,Neutered Male,730.0,Shih Tzu,Gray/White,11,6,1
289,Dog,Spayed Female,180.0,Plott Hound Mix,Brown Brindle,0,3,11
290,Dog,Neutered Male,330.0,Australian Shepherd Mix,Tan/White,15,0,1
291,Dog,Neutered Male,1095.0,Chihuahua Shorthair Mix,Tan/White,14,3,2
292,Cat,Intact Female,60.0,Domestic Longhair Mix,Black/White,13,4,11
293,Dog,Neutered Male,365.0,Labrador Retriever/Border Collie,Black/White,15,6,4
294,Cat,Intact Female,28.0,Siamese Mix,Blue Point,18,0,9
295,Dog,Neutered Male,1460.0,Chihuahua Shorthair Mix,White/Brown,19,5,3
296,Cat,Neutered Male,2920.0,Domestic Medium Hair Mix,Orange Tabby,14,2,11
297,Cat,Spayed Female,90.0,Domestic Shorthair Mix,Calico,17,2,10
298,Dog,Spayed Female,60.0,Australian Cattle Dog Mix,Brown/White,14,6,11
299,Cat,Spayed Female,120.0,Domestic Shorthair Mix,Tortie,12,4,8
300,Dog,Intact Male,730.0,Labrador Retriever/Great Dane,Tan/Black,17,4,3
301,Dog,Neutered Male,2190.0,Dachshund Mix,Brown,17,3,7
302,Dog,Spayed Female,330.0,Boxer Mix,Brown Brindle/White,13,6,8
303,Dog,Spayed Female,365.0,Labrador Retriever Mix,Tan/White,16,3,10
304,Dog,Neutered Male,1460.0,Shih Tzu/Miniature Poodle,Apricot/White,16,5,11
305,Cat,Neutered Male,60.0,Domestic Medium Hair Mix,Blue/White,14,5,9
306,Dog,Neutered Male,730.0,Pit Bull Mix,Red,0,0,11
307,Dog,Spayed Female,60.0,Australian Cattle Dog Mix,Red Merle/Black,17,0,11
308,Cat,Neutered Male,180.0,Domestic Shorthair Mix,Black,18,1,1
309,Cat,Neutered Male,2920.0,Domestic Shorthair Mix,Black/White,17,6,8
310,Cat,Neutered Male,1095.0,Domestic Shorthair Mix,Brown Tabby,17,3,2
311,Dog,Neutered Male,730.0,Chihuahua Shorthair Mix,Brown/White,17,6,8
312,Dog,Intact Male,60.0,Australian Cattle Dog Mix,White/Brown,17,4,11
313,Cat,Intact Female,21.0,Domestic Shorthair Mix,Tortie,13,6,9
314,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Brown Tabby,14,4,6
315,Dog,Neutered Male,1460.0,German Shepherd Mix,Brown,7,1,6
316,Cat,Neutered Male,1825.0,Domestic Shorthair Mix,Brown Tabby/White,14,0,12
317,Dog,Spayed Female,730.0,Pointer Mix,Chocolate/White,13,6,11
318,Cat,Intact Female,180.0,Domestic Medium Hair Mix,Calico,15,3,10
319,Dog,Spayed Female,730.0,Miniature Poodle Mix,Black/Gray,19,4,5
320,Dog,Spayed Female,3650.0,Collie Smooth/Chow Chow,Sable,10,0,9
321,Cat,Intact Male,180.0,Domestic Shorthair Mix,Black/White,9,4,12
322,Cat,Intact Female,60.0,Domestic Shorthair Mix,Calico,12,1,4
323,Dog,Neutered Male,180.0,Cocker Spaniel Mix,Sable,17,5,2
324,Dog,Neutered Male,2920.0,Chihuahua Shorthair Mix,Tricolor,18,5,1
325,Dog,Neutered Male,180.0,Labrador Retriever Mix,Buff,12,3,11
326,Cat,Intact Male,90.0,Siamese Mix,Seal Point,17,3,8
327,Dog,Spayed Female,365.0,Rottweiler/Labrador Retriever,Black/Tan,18,2,1
328,Dog,Spayed Female,365.0,Chihuahua Shorthair Mix,Brown/Black,17,0,3
329,Dog,Neutered Male,60.0,Boxer Mix,Tricolor,18,0,5
330,Cat,Unknown,14.0,Domestic Shorthair Mix,Blue Tabby,18,4,5
331,Dog,Spayed Female,730.0,Chihuahua Shorthair Mix,Tan,18,5,1
332,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Orange Tabby/White,11,0,9
333,Cat,Neutered Male,270.0,Domestic Shorthair Mix,White/Brown Tabby,11,1,9
