AnimalID,Name,Date,weekday,Month,Time (hour),,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A704702,Scooter,"Monday, June 08, 2015",Monday,Jun,4:30:00 PM,16,Return_to_owner,,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Red
A688584,Preston,"Wednesday, November 25, 2015",Wednesday,Nov,3:00:00 PM,15,Return_to_owner,,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream
A678825,Oliver,"Saturday, July 12, 2014",Saturday,Jul,12:10:00 PM,12,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A678050,,"Saturday, May 03, 2014",Saturday,May,4:15:00 PM,16,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A680028,,"Saturday, June 07, 2014",Saturday,Jun,12:54:00 PM,12,Transfer,Partner,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White
A679010,Chrissy,"Saturday, May 17, 2014",Saturday,May,11:32:00 AM,11,Transfer,Partner,Cat,Intact Female,2 years,Angora Mix,White
A684787,Kuma,"Wednesday, July 30, 2014",Wednesday,Jul,5:34:00 PM,17,Return_to_owner,,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
A670658,Anders,"Sunday, January 19, 2014",Sunday,Jan,3:03:00 PM,15,Transfer,Partner,Dog,Intact Male,2 months,Queensland Heeler Mix,Black/White
A708812,Munchkin,"Friday, September 18, 2015",Friday,Sep,3:19:00 PM,15,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White
A705262,Jamaica,"Saturday, August 15, 2015",Saturday,Aug,2:22:00 PM,14,Adoption,,Dog,Spayed Female,2 years,Plott Hound/Boxer,Brown Brindle/White
A665781,Quattro,"Monday, October 28, 2013",Monday,Oct,4:32:00 PM,16,Adoption,,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White
A676333,Trigger,"Wednesday, April 09, 2014",Wednesday,Apr,5:44:00 PM,17,Return_to_owner,,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown
A712750,Olive,"Saturday, October 03, 2015",Saturday,Oct,3:44:00 PM,15,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby
A718832,Nia,"Friday, January 15, 2016",Friday,Jan,5:31:00 PM,17,Adoption,,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White
A698777,Chloe,"Wednesday, March 25, 2015",Wednesday,Mar,6:50:00 PM,18,Adoption,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Tan
A715348,Cymbale,"Saturday, November 21, 2015",Saturday,Nov,1:01:00 PM,13,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby/White
A708666,Jax,"Thursday, July 30, 2015",Thursday,Jul,2:30:00 PM,14,Return_to_owner,,Cat,Neutered Male,7 years,Russian Blue Mix,Blue
A718535,,"Friday, January 01, 2016",Friday,Jan,1:57:00 PM,13,Euthanasia,Suffering,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A707341,Murphy,"Wednesday, July 15, 2015",Wednesday,Jul,3:25:00 PM,15,Transfer,Partner,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White
A682532,,"Thursday, July 03, 2014",Thursday,Jul,5:01:00 PM,17,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A666825,Jesse,"Friday, November 08, 2013",Friday,Nov,1:24:00 PM,13,Return_to_owner,,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black
A699723,Delgado,"Saturday, April 11, 2015",Saturday,Apr,4:01:00 PM,16,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
A668626,,"Friday, December 06, 2013",Friday,Dec,2:55:00 PM,14,Euthanasia,Suffering,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow
A657085,Pony Boy,"Thursday, October 24, 2013",Thursday,Oct,11:22:00 AM,11,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White
A682413,,"Wednesday, July 02, 2014",Wednesday,Jul,1:37:00 PM,13,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White
A702655,Mica,"Tuesday, August 11, 2015",Tuesday,Aug,12:00:00 AM,0,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
A707503,,"Tuesday, July 14, 2015",Tuesday,Jul,12:16:00 PM,12,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A697199,Pilar,"Saturday, April 04, 2015",Saturday,Apr,5:26:00 PM,17,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby
A705598,,"Tuesday, June 23, 2015",Tuesday,Jun,1:25:00 PM,13,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
A668388,Lucy,"Monday, December 09, 2013",Monday,Dec,3:04:00 PM,15,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A671181,,"Tuesday, January 21, 2014",Tuesday,Jan,3:15:00 PM,15,Transfer,SCRP,Cat,Intact Male,4 years,Domestic Longhair Mix,Black/White
A676766,Ali,"Wednesday, May 28, 2014",Wednesday,May,3:52:00 PM,15,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
A686716,Chester,"Wednesday, August 27, 2014",Wednesday,Aug,7:50:00 AM,7,Return_to_owner,,Dog,Neutered Male,12 years,Beagle,Tricolor
A684475,Daisy,"Tuesday, August 05, 2014",Tuesday,Aug,11:15:00 AM,11,Return_to_owner,,Cat,Spayed Female,9 years,Domestic Shorthair Mix,White/Black
A701804,,"Tuesday, May 05, 2015",Tuesday,May,11:46:00 AM,11,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A697852,Edith,"Monday, March 09, 2015",Monday,Mar,5:57:00 PM,17,Adoption,,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown
A666092,,"Wednesday, October 30, 2013",Wednesday,Oct,3:37:00 PM,15,Euthanasia,Aggressive,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White
A684050,,"Monday, July 28, 2014",Monday,Jul,9:00:00 AM,9,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
A710107,Caty,"Monday, October 19, 2015",Monday,Oct,6:58:00 PM,18,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A682347,,"Thursday, June 26, 2014",Thursday,Jun,5:16:00 PM,17,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White
A701627,Gabe,"Thursday, May 14, 2015",Thursday,May,12:07:00 PM,12,Adoption,,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White
A690902,Beth,"Tuesday, November 18, 2014",Tuesday,Nov,4:05:00 PM,16,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
A712979,,"Sunday, October 04, 2015",Sunday,Oct,3:02:00 PM,15,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black
A707687,Bashful,"Sunday, August 16, 2015",Sunday,Aug,1:52:00 PM,13,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A683443,,"Friday, July 18, 2014",Friday,Jul,4:23:00 PM,16,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan
A597644,Lola,"Tuesday, September 16, 2014",Tuesday,Sep,2:05:00 PM,14,Return_to_owner,,Dog,Spayed Female,4 years,Black Mouth Cur Mix,Tan/Black
A682784,Sugar,"Monday, July 07, 2014",Monday,Jul,12:38:00 PM,12,Adoption,,Dog,Neutered Male,2 years,Dachshund/Beagle,Brown/White
A709863,Orangejello,"Wednesday, August 19, 2015",Wednesday,Aug,1:32:00 PM,13,Transfer,Partner,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
A678506,Prec Punkin',"Friday, May 09, 2014",Friday,May,6:07:00 PM,18,Euthanasia,Suffering,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Brown/Black
A713029,Wilma,"Tuesday, October 06, 2015",Tuesday,Oct,3:07:00 PM,15,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A712236,Bella,"Wednesday, September 23, 2015",Wednesday,Sep,11:45:00 AM,11,Adoption,,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White
A683961,,"Thursday, July 17, 2014",Thursday,Jul,5:31:00 PM,17,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
A714740,Chiquita,"Tuesday, October 27, 2015",Tuesday,Oct,6:32:00 PM,18,Return_to_owner,,Dog,Spayed Female,6 years,Maltese Mix,White
A691847,Hero,"Monday, December 08, 2014",Monday,Dec,3:53:00 PM,15,Transfer,Partner,Dog,Neutered Male,6 months,Pointer Mix,Black/White
A711392,Molly,"Tuesday, September 08, 2015",Tuesday,Sep,3:31:00 PM,15,Transfer,Partner,Dog,Intact Female,2 months,English Foxhound,Buff
A705258,,"Tuesday, June 16, 2015",Tuesday,Jun,9:00:00 AM,9,Transfer,SCRP,Cat,Unknown,2 months,Domestic Shorthair Mix,Brown Tabby/White
A678172,Bella,"Saturday, May 10, 2014",Saturday,May,6:18:00 PM,18,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red
A676736,Chili,"Wednesday, April 30, 2014",Wednesday,Apr,5:55:00 PM,17,Adoption,,Dog,Neutered Male,2 months,Vizsla Mix,Brown
A701575,Hastings,"Friday, January 29, 2016",Friday,Jan,2:53:00 PM,14,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
A674913,,"Tuesday, March 25, 2014",Tuesday,Mar,6:15:00 PM,18,Adoption,,Dog,Spayed Female,3 years,German Shepherd/Great Pyrenees,White
A706446,Tootsie,"Tuesday, August 18, 2015",Tuesday,Aug,11:32:00 AM,11,Return_to_owner,,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
A669540,Snookie,"Saturday, December 28, 2013",Saturday,Dec,4:17:00 PM,16,Return_to_owner,,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Blue/Tan
A709371,Abby,"Wednesday, August 19, 2015",Wednesday,Aug,2:28:00 PM,14,Transfer,Partner,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
A681410,Nym,"Sunday, June 22, 2014",Sunday,Jun,5:22:00 PM,17,Adoption,,Cat,Spayed Female,3 months,Domestic Longhair,Brown Tabby
A675021,,"Friday, March 21, 2014",Friday,Mar,5:09:00 PM,17,Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A704179,Zeus,"Sunday, June 07, 2015",Sunday,Jun,4:07:00 PM,16,Adoption,,Dog,Neutered Male,2 months,Chow Chow/Pit Bull,Black
A717839,,"Sunday, December 20, 2015",Sunday,Dec,7:38:00 PM,19,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White
A700740,Charlie,"Thursday, December 17, 2015",Thursday,Dec,12:10:00 PM,12,Adoption,Foster,Dog,Neutered Male,1 year,Chihuahua Shorthair,White
A712376,,"Tuesday, September 22, 2015",Tuesday,Sep,12:10:00 PM,12,Euthanasia,Suffering,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
A703952,Taco,"Saturday, May 30, 2015",Saturday,May,6:56:00 PM,18,Transfer,Partner,Cat,Unknown,4 weeks,Siamese Mix,Seal Point
A713690,,"Monday, October 12, 2015",Monday,Oct,9:00:00 AM,9,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue Tabby
A691838,Avaddon,"Monday, February 09, 2015",Monday,Feb,5:17:00 PM,17,Euthanasia,Suffering,Dog,Neutered Male,12 years,Pit Bull Mix,Brown Brindle
A687789,,"Sunday, September 14, 2014",Sunday,Sep,6:51:00 PM,18,Adoption,,Dog,Neutered Male,1 year,Dachshund/Beagle,Brown/White
A704754,Arthur,"Saturday, July 18, 2015",Saturday,Jul,3:37:00 PM,15,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A707531,,"Tuesday, July 14, 2015",Tuesday,Jul,3:04:00 PM,15,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
A677594,,"Saturday, April 26, 2014",Saturday,Apr,6:00:00 PM,18,Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White
A667155,,"Monday, November 18, 2013",Monday,Nov,3:56:00 PM,15,Adoption,,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Calico
A717147,Freeway,"Tuesday, December 15, 2015",Tuesday,Dec,2:16:00 PM,14,Adoption,,Dog,Neutered Male,5 months,Plott Hound Mix,Brown Brindle/White
A687012,Chloe,"Sunday, February 07, 2016",Sunday,Feb,2:54:00 PM,14,Adoption,,Dog,Spayed Female,3 years,Boxer/Great Dane,Black
A676200,Georgia,"Thursday, April 10, 2014",Thursday,Apr,11:49:00 AM,11,Transfer,Partner,Dog,Spayed Female,7 years,Lhasa Apso,White/Black
A676680,Hero,"Friday, February 06, 2015",Friday,Feb,6:56:00 PM,18,Euthanasia,Aggressive,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan
A688443,Thelma,"Monday, December 29, 2014",Monday,Dec,3:11:00 PM,15,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black
A715261,Darcy,"Sunday, November 15, 2015",Sunday,Nov,2:06:00 PM,14,Adoption,,Dog,Spayed Female,9 years,Beagle/Treeing Walker Coonhound,White/Brown
A717008,Taz,"Sunday, December 06, 2015",Sunday,Dec,3:12:00 PM,15,Transfer,Partner,Dog,Neutered Male,7 months,Border Collie Mix,Black/White
A683416,,"Monday, July 14, 2014",Monday,Jul,7:28:00 PM,19,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A690658,,"Friday, October 24, 2014",Friday,Oct,9:00:00 AM,9,Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black/White
A695155,,"Wednesday, January 14, 2015",Wednesday,Jan,4:18:00 PM,16,Adoption,,Dog,Neutered Male,3 years,Border Terrier Mix,Gray
A679721,Poppy,"Thursday, May 29, 2014",Thursday,May,5:43:00 PM,17,Adoption,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
A719113,Dexter,"Thursday, January 28, 2016",Thursday,Jan,12:05:00 PM,12,Transfer,Partner,Dog,Neutered Male,5 years,Boxer Mix,Brown Brindle/White
A665298,,"Wednesday, October 16, 2013",Wednesday,Oct,11:50:00 AM,11,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue
A708351,,"Sunday, July 26, 2015",Sunday,Jul,2:40:00 PM,14,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
A670681,Matty,"Thursday, January 30, 2014",Thursday,Jan,2:41:00 PM,14,Transfer,Partner,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie
A699990,Chubbs,"Wednesday, April 08, 2015",Wednesday,Apr,6:06:00 PM,18,Return_to_owner,,Dog,Neutered Male,4 years,Cairn Terrier Mix,Tan/White
A707767,Lilly,"Sunday, July 19, 2015",Sunday,Jul,6:27:00 PM,18,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A668362,Minnie,"Friday, December 20, 2013",Friday,Dec,12:02:00 PM,12,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
A674577,Santiago,"Sunday, March 23, 2014",Sunday,Mar,6:43:00 PM,18,Adoption,,Dog,Neutered Male,2 years,Dogo Argentino Mix,White
A674802,Franklin,"Saturday, March 29, 2014",Saturday,Mar,11:26:00 AM,11,Return_to_owner,,Dog,Neutered Male,9 years,Dachshund Mix,Black/Brown
A672410,Myles,"Tuesday, February 11, 2014",Tuesday,Feb,6:16:00 PM,18,Return_to_owner,,Dog,Neutered Male,5 years,Beagle Mix,Tricolor
A657753,Wiz,"Friday, December 06, 2013",Friday,Dec,4:53:00 PM,16,Euthanasia,Aggressive,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Yellow Brindle/White
A663339,Abby,"Sunday, October 20, 2013",Sunday,Oct,4:37:00 PM,16,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
A678229,,"Tuesday, May 06, 2014",Tuesday,May,3:59:00 PM,15,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A698694,Boss,"Monday, July 06, 2015",Monday,Jul,3:48:00 PM,15,Transfer,Partner,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown
A695971,,"Monday, January 26, 2015",Monday,Jan,4:23:00 PM,16,Euthanasia,Suffering,Cat,Intact Male,6 years,Domestic Shorthair Mix,Orange Tabby
A674233,Missy,"Saturday, March 22, 2014",Saturday,Mar,3:38:00 PM,15,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
A713392,Basil,"Thursday, November 05, 2015",Thursday,Nov,12:00:00 AM,0,Transfer,Partner,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Black/White
A713968,Katydid,"Saturday, October 24, 2015",Saturday,Oct,6:29:00 PM,18,Transfer,Partner,Cat,Intact Female,1 month,Domestic Longhair Mix,Calico
A701428,Kiki,"Sunday, May 03, 2015",Sunday,May,4:59:00 PM,16,Return_to_owner,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown
A676146,Desmo,"Monday, April 14, 2014",Monday,Apr,5:00:00 PM,17,Return_to_owner,,Dog,Neutered Male,5 years,Dachshund Mix,Black
A679259,Pablo,"Monday, May 26, 2014",Monday,May,11:22:00 AM,11,Adoption,,Dog,Neutered Male,8 years,Miniature Schnauzer/Miniature Poodle,Black
A688223,,"Sunday, September 21, 2014",Sunday,Sep,2:15:00 PM,14,Adoption,Offsite,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
A691968,,"Friday, November 14, 2014",Friday,Nov,11:57:00 AM,11,Euthanasia,Suffering,Cat,Intact Female,7 years,Domestic Shorthair Mix,Tortie
A688871,Pandora,"Friday, October 03, 2014",Friday,Oct,6:43:00 PM,18,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
A674530,Jackson,"Thursday, September 11, 2014",Thursday,Sep,5:03:00 PM,17,Adoption,,Dog,Neutered Male,5 years,Pit Bull,Black
A718604,Watson,"Sunday, January 31, 2016",Sunday,Jan,5:22:00 PM,17,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown
A686520,,"Sunday, August 24, 2014",Sunday,Aug,9:00:00 AM,9,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
A699094,Levon,"Sunday, March 22, 2015",Sunday,Mar,6:40:00 PM,18,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
A394547,Snickerdoodl,"Sunday, January 25, 2015",Sunday,Jan,11:15:00 AM,11,Return_to_owner,,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate/White
A662685,Lola,"Thursday, October 22, 2015",Thursday,Oct,5:18:00 PM,17,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Red/White
A713977,Jumbly,"Monday, October 26, 2015",Monday,Oct,6:39:00 PM,18,Return_to_owner,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A707781,Pearl,"Friday, January 15, 2016",Friday,Jan,2:03:00 PM,14,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Black/White
A694699,Pebbles,"Friday, January 09, 2015",Friday,Jan,3:28:00 PM,15,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
A696350,Minnie,"Tuesday, December 15, 2015",Tuesday,Dec,5:30:00 PM,17,Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle
A679102,Merlin,"Tuesday, June 10, 2014",Tuesday,Jun,4:41:00 PM,16,Transfer,Partner,Cat,Neutered Male,2 years,Siamese Mix,Flame Point
A698341,Parsley,"Saturday, May 16, 2015",Saturday,May,3:19:00 PM,15,Return_to_owner,,Dog,Spayed Female,2 years,Tibetan Terrier Mix,Brown
A681481,,"Wednesday, June 18, 2014",Wednesday,Jun,9:00:00 AM,9,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue/White
A714177,,"Tuesday, October 20, 2015",Tuesday,Oct,9:00:00 AM,9,Transfer,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Tortie
A689601,Abby,"Sunday, November 23, 2014",Sunday,Nov,6:55:00 PM,18,Adoption,Foster,Dog,Spayed Female,1 month,Miniature Pinscher/Chihuahua Shorthair,Tricolor
A685062,,"Tuesday, August 05, 2014",Tuesday,Aug,1:20:00 PM,13,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A672453,,"Sunday, February 16, 2014",Sunday,Feb,7:38:00 PM,19,Adoption,Offsite,Cat,Neutered Male,10 months,Domestic Medium Hair Mix,Cream Tabby
A719480,Ricky,"Tuesday, February 09, 2016",Tuesday,Feb,4:31:00 PM,16,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Brown Tabby/White
A702880,Tom,"Sunday, June 28, 2015",Sunday,Jun,3:33:00 PM,15,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
A714494,Amarillo,"Sunday, November 01, 2015",Sunday,Nov,7:11:00 PM,19,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Yellow
A711853,Nala,"Saturday, November 07, 2015",Saturday,Nov,7:14:00 PM,19,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A688720,,"Friday, September 26, 2014",Friday,Sep,6:09:00 PM,18,Adoption,,Dog,Spayed Female,1 year,Dachshund Mix,Tan
A689690,Winnie,"Wednesday, October 22, 2014",Wednesday,Oct,2:37:00 PM,14,Transfer,Partner,Dog,Intact Female,6 months,Dachshund Mix,Brown/White
A679915,Luna,"Sunday, June 01, 2014",Sunday,Jun,5:48:00 PM,17,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
A687991,,"Friday, September 12, 2014",Friday,Sep,6:38:00 PM,18,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Calico
A707896,Tokyo,"Friday, February 19, 2016",Friday,Feb,2:58:00 PM,14,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A702014,Diamond,"Saturday, November 14, 2015",Saturday,Nov,1:30:00 PM,13,Adoption,,Dog,Spayed Female,11 months,Blue Lacy Mix,Blue/White
A673626,,"Monday, March 03, 2014",Monday,Mar,4:58:00 PM,16,Transfer,Partner,Dog,Neutered Male,3 months,Rat Terrier Mix,Tricolor
A652097,Minnie,"Monday, February 10, 2014",Monday,Feb,12:34:00 PM,12,Return_to_owner,,Dog,Spayed Female,2 years,Dachshund Longhair,Brown
A685180,Neville,"Saturday, September 27, 2014",Saturday,Sep,12:25:00 PM,12,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Red
A707442,Conrad,"Saturday, August 15, 2015",Saturday,Aug,11:32:00 AM,11,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
A682599,Shiva,"Thursday, July 03, 2014",Thursday,Jul,6:45:00 PM,18,Adoption,,Cat,Spayed Female,4 months,Domestic Longhair,Calico
A685452,,"Monday, August 11, 2014",Monday,Aug,3:17:00 PM,15,Transfer,Partner,Dog,Intact Female,4 months,Dachshund/Chihuahua Shorthair,Red
A688067,,"Monday, September 15, 2014",Monday,Sep,9:00:00 AM,9,Transfer,SCRP,Cat,Intact Female,5 months,Domestic Shorthair Mix,Torbie
A714069,Jupiter,"Wednesday, December 16, 2015",Wednesday,Dec,11:28:00 AM,11,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Tabby/White
A705924,Nero,"Wednesday, July 29, 2015",Wednesday,Jul,3:41:00 PM,15,Transfer,Partner,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Brown/White
A717167,Oscar,"Saturday, January 23, 2016",Saturday,Jan,4:05:00 PM,16,Adoption,Foster,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
A711639,,"Thursday, September 10, 2015",Thursday,Sep,11:35:00 AM,11,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie/Calico
A716760,Dasher,"Sunday, December 06, 2015",Sunday,Dec,5:08:00 PM,17,Adoption,,Dog,Neutered Male,6 months,Border Collie Mix,Black/White
A709048,Libby,"Saturday, August 08, 2015",Saturday,Aug,5:58:00 PM,17,Adoption,,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White
A719048,Gracie,"Wednesday, January 13, 2016",Wednesday,Jan,11:43:00 AM,11,Return_to_owner,,Dog,Spayed Female,8 years,Maltese,White
A707437,,"Sunday, July 19, 2015",Sunday,Jul,5:26:00 PM,17,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
